X,Y,, 
"2,51235","0,13526",,
"2,5124","0,13676",,
"2,51245","0,13829",,
"2,5125","0,1397",,
"2,51255","0,1414",,
"2,5126","0,14331",,
"2,51265","0,14506",,
"2,5127","0,14702",,
"2,51275","0,14854",,
"2,5128","0,1508",,
"2,51285","0,15263",,
"2,5129","0,15473",,
"2,51295","0,15688",,
"2,513","0,15887",,
"2,51305","0,1611",,
"2,5131","0,16307",,
"2,51315","0,1652",,
"2,5132","0,16766",,
"2,51325","0,17028",,
"2,5133","0,173",,
"2,51335","0,17547",,
"2,5134","0,17808",,
"2,51345","0,18078",,
"2,5135","0,18366",,
"2,51355","0,18647",,
"2,5136","0,18967",,
"2,51365","0,19239",,
"2,5137","0,19574",,
"2,51375","0,19886",,
"2,5138","0,20252",,
"2,51385","0,20599",,
"2,5139","0,20941",,
"2,51395","0,21317",,
"2,514","0,21709",,
"2,51405","0,22092",,
"2,5141","0,22495",,
"2,51415","0,22932",,
"2,5142","0,23359",,
"2,51425","0,23845",,
"2,5143","0,24321",,
"2,51435","0,24781",,
"2,5144","0,25322",,
"2,51445","0,25821",,
"2,5145","0,26361",,
"2,51455","0,26953",,
"2,5146","0,27557",,
"2,51465","0,28154",,
"2,5147","0,28791",,
"2,51475","0,29453",,
"2,5148","0,3015",,
"2,51485","0,30838",,
"2,5149","0,3159",,
"2,51495","0,32345",,
"2,515","0,3317",,
"2,51505","0,33977",,
"2,5151","0,34838",,
"2,51515","0,3575",,
"2,5152","0,36717",,
"2,51525","0,3766",,
"2,5153","0,38641",,
"2,51535","0,39679",,
"2,5154","0,4074",,
"2,51545","0,41835",,
"2,5155","0,42943",,
"2,51555","0,44057",,
"2,5156","0,4525",,
"2,51565","0,46403",,
"2,5157","0,47598",,
"2,51575","0,4876",,
"2,5158","0,49948",,
"2,51585","0,5105",,
"2,5159","0,52141",,
"2,51595","0,53227",,
"2,516","0,542",,
"2,51605","0,55058",,
"2,5161","0,55871",,
"2,51615","0,56564",,
"2,5162","0,57105",,
"2,51625","0,57476",,
"2,5163","0,57747",,
"2,51635","0,57839",,
"2,5164","0,57756",,
"2,51645","0,57513",,
"2,5165","0,5712",,
"2,51655","0,56568",,
"2,5166","0,5587",,
"2,51665","0,55093",,
"2,5167","0,54198",,
"2,51675","0,53232",,
"2,5168","0,52163",,
"2,51685","0,51056",,
"2,5169","0,49908",,
"2,51695","0,48694",,
"2,517","0,4754",,
"2,51705","0,46346",,
"2,5171","0,45158",,
"2,51715","0,43994",,
"2,5172","0,42837",,
"2,51725","0,41699",,
"2,5173","0,40588",,
"2,51735","0,39533",,
"2,5174","0,38481",,
"2,51745","0,37473",,
"2,5175","0,36496",,
"2,51755","0,35529",,
"2,5176","0,34623",,
"2,51765","0,33768",,
"2,5177","0,32931",,
"2,51775","0,32115",,
"2,5178","0,31343",,
"2,51785","0,3055",,
"2,5179","0,29834",,
"2,51795","0,29145",,
"2,518","0,28478",,
"2,51805","0,27812",,
"2,5181","0,27202",,
"2,51815","0,26611",,
"2,5182","0,26016",,
"2,51825","0,25473",,
"2,5183","0,24929",,
"2,51835","0,24426",,
"2,5184","0,2395",,
"2,51845","0,23444",,
"2,5185","0,22977",,
"2,51855","0,22573",,
"2,5186","0,22118",,
"2,51865","0,21714",,
"2,5187","0,21287",,
"2,51875","0,2092",,
"2,5188","0,20514",,
"2,51885","0,2016",,
"2,5189","0,1982",,
"2,51895","0,1948",,
"2,519","0,19134",,
"2,51905","0,18834",,
"2,5191","0,18509",,
"2,51915","0,18205",,
"2,5192","0,17914",,
"2,51925","0,17635",,
"2,5193","0,17368",,
"2,51935","0,17092",,
"2,5194","0,16836",,
"2,51945","0,16593",,
"2,5195","0,16337",,
"2,51955","0,16097",,
"2,5196","0,15866",,
"2,51965","0,15634",,
"2,5197","0,1544",,
"2,51975","0,15207",,
"2,5198","0,14999",,
"2,51985","0,14793",,
"2,5199","0,14581",,
